,delta ,theta ,alpha ,beta ,gamma
min,0.007051255,-0.19576997,-0.32477912,-0.02095184,-0.23444265
Q1,0.28596944,0.261242475,0.452064385,0.175630725,-0.02892047275
Q2,0.892207425,0.5361912,0.64068362,0.31101798,0.06656571
Q3,1.609495625,1.0683677125,0.96514102,0.5785734125,0.19796574
max,1.777813,1.277712,1.1602964,0.6703196,0.31749606
mean,0.907071547603448,0.591457102931034,0.67045483512069,0.331563930517241,0.0789367085172414
Std Dev,0.624758959668655,0.436000323160128,0.303910378509091,0.200090673204,0.151612040564083

Left Ear_Mathilde_Mathilde_Chine4
min,-0.16919187,-0.4515421,-0.04725058,-0.05767748,-0.30863863
Q1,0.2827762,0.0975955375,0.340649095,0.177697275,-0.06420767
Q2,0.415034475,0.30022663,0.474914,0.20601499,0.0066729415
Q3,0.7011905,0.4131571725,0.6399746,0.29139814,0.12156739375
max,1.4613292,1.3553461,1.1841199,0.48757815,0.23731418
mean,0.5087065115,0.30333088745,0.493366835166667,0.2285678315,0.008667269
Std Dev,0.33339419174085,0.296785599865022,0.277853712642049,0.100192178524239,0.124982653339524

Left Forehead_Mathilde_Mathilde_Chine4
min,-0.50643104,-0.5537993,-0.342831,-0.4919524,-0.8489085
Q1,0.77320589,0.2308630975,0.229359355,-0.26119962,-0.64893815
Q2,1.04093995,0.575181455,0.39152437,-0.19564888,-0.5534832
Q3,1.32253095,0.890904535,0.5901210925,-0.126251055,-0.502397825
max,1.6185094,1.2057998,1.0625514,0.15670124,-0.2471703
mean,0.948776051166667,0.521576405,0.387600703666667,-0.184102182233333,-0.55846063
Std Dev,0.501139740687116,0.448308102003524,0.333729701166251,0.136754812132313,0.127553101940041

Right Forehead_Mathilde_Mathilde_Chine4
min,0.7648308,0.3251873,0.1146593,-0.05533369,-0.5278588
Q1,1.1163927,0.8138031,0.6500328,0.269240635,-0.323000025
Q2,1.1163927,0.8686416,0.6500328,1.4590441,1.220109
Q3,1.213155425,0.8686416,0.659548275,1.4590441,1.220109
max,1.9158062,1.2602223,1.0811492,1.4590441,1.2610217
mean,1.24225915833333,0.819138233333333,0.670152103333333,1.00826602533333,0.666168735
Std Dev,0.262619624015615,0.161200063397041,0.157661789945496,0.62396369723149,0.764658525170455

Right Ear_Mathilde_Mathilde_Chine4
min,-0.30588114,-0.3995421,-0.09542429,-0.14714554,-0.71085465
Q1,0.1483742225,-0.0318654025,0.2518442425,0.02727166125,-0.23264992
Q2,0.30889791,0.18692182,0.540803,0.100238662,-0.12833817
Q3,0.6039273475,0.39840574,0.673601275,0.1843217525,-0.05967621
max,1.1288602,0.9109243,1.0046657,0.5612906,0.19523129
mean,0.351814471566667,0.1926654335,0.481831861,0.11893082914,-0.150260889
Std Dev,0.299469414836262,0.287395643538837,0.273758626729147,0.146087530491434,0.163039827646387

