,delta ,theta ,alpha ,beta ,gamma
Right Ear_Mathilde_Mathilde_Vietnam3
min,-0.24731632,-0.57568777,0.064367,-0.10299944,-0.28653145
Q1,0.3174853375,0.1357647625,0.3216073,0.262619185,-0.02565090025
Q2,0.6183336,0.39056497,0.51455005,0.40260436,0.1192485075
Q3,1.046804675,0.6311729875,0.775573775,0.5325739225,0.252879535
max,1.7775035,1.6084,1.3005749,0.99077225,0.8252363
mean,0.6698471855,0.390955151833333,0.574270743333333,0.410998046766667,0.1439617311
Std Dev,0.47796365077535,0.453597492365851,0.315175834217574,0.25094007579038,0.228480382063485

Left Ear_Mathilde_Mathilde_Vietnam4
min,-0.12571234,-0.37140968,-0.03963748,-0.01537604,-0.4383662
Q1,0.49984476,0.142133845,0.39177622,0.154389135,-0.2433526
Q2,0.7229245,0.43069708,0.44193256,0.26704973,-0.01371949
Q3,0.9024002,0.62871983,0.675119,0.34929215,0.0375529
max,1.5348878,1.1861238,1.1050649,0.59573174,0.1613395
mean,0.73564279661017,0.393632985559322,0.502653756779661,0.258631471694915,-0.0901810537710169
Std Dev,0.359650698793034,0.361589899703561,0.251030815926055,0.132646657910582,0.178170296027068

Left Forehead_Mathilde_Mathilde_Vietnam4
min,-0.4071951,-0.74186414,-0.27553186,-0.06727597,-0.3332484
Q1,0.037411867,-0.283708365,-0.0472137885,0.0509517215,-0.22436987
Q2,0.46267495,-0.027206726,0.15617535,0.09490549,-0.14553693
Q3,0.7967611,0.259705555,0.42687686,0.190405215,-0.050299335
max,2.0216746,1.2479088,1.2740923,0.59514695,0.2560197
mean,0.501281198627119,0.0533998527118644,0.232341712423729,0.133788137932203,-0.13423316759322
Std Dev,0.593794902051136,0.489121972529935,0.371209371403194,0.121378670710992,0.124237198895981

Right Forehead_Mathilde_Mathilde_Vietnam4
min,-1.1351818,-1.3973734,-0.4121637,-0.05966927,-0.22396697
Q1,-0.19085389,-0.41814643,-0.0696431935,0.21247681,-0.061527792
Q2,0.82694477,0.19739528,0.29377404,0.28329146,0.017634857
Q3,1.31911105,0.834319225,0.691474075,0.348101155,0.086940175
max,1.9529717,1.2491081,1.3423234,0.90581775,0.5749621
mean,0.563082732372881,0.181877283559322,0.312737260440678,0.288446088474576,0.0301613925288136
Std Dev,0.807565058673921,0.698978094469759,0.437325079898359,0.142492419000632,0.132556271804841

Right Ear_Mathilde_Mathilde_Vietnam4
min,-0.08487695,-0.2727001,0.09066857,0.04299992,-0.4157493
Q1,0.272905765,0.07804936,0.322067165,0.13236976,-0.16087847
Q2,0.487309,0.21603319,0.45551583,0.2706575,-0.04747263
Q3,0.811196175,0.5615273,0.65909945,0.36362793,0.0154206345
max,1.561252,1.1002362,1.2570336,0.8980009,0.33315563
mean,0.557847047118644,0.314075916949153,0.523054941864407,0.280659400847458,-0.0690703642881356
Std Dev,0.383205307963545,0.323849275224038,0.271132013386523,0.173877715779944,0.135176784630982

