,delta ,theta ,alpha ,beta ,gamma
mean,0.449674651789904,0.42199314321007,0.414993717049711,0.205927119492581,0.228975295827678
Std Dev,0.191280208991614,0.195027346052553,0.20526096733893,0.101424266416344,0.090407298648558

Right Forehead_Mathilde_Mathilde_Chine3
min,0,0,0,0.0924515676305968,0.0515732630494498
Q1,0.22508163621311,0.226474696833252,0.215446741283428,0.247033887748786,0.203917721844472
Q2,0.491457392817379,0.541622049575205,0.551816817400646,0.29103917864747,0.259365400028091
Q3,0.675804741108542,0.734276546162341,0.668356196702381,0.325376950450159,0.305155384092987
max,0.861522007246516,1,0.9265474485919,0.637652755413221,0.477619036808273
mean,0.456455539532321,0.500328595890234,0.487237321138608,0.298249464139737,0.258446478854027
Std Dev,0.254182464395094,0.280476636600523,0.268785440221465,0.0975197205874004,0.0850566139014099

Right Ear_Mathilde_Mathilde_Chine3
min,0.248622040826506,0.268414029293022,0.0811576729455227,0.237968093520876,0.284593863609308
Q1,0.346703258433484,0.451597104487546,0.503147578869098,0.335037340212121,0.376261708411475
Q2,0.559886058717379,0.56180406606452,0.605607614540024,0.401889346413411,0.418850847443566
Q3,0.812119522918066,0.775114953268144,0.781856430190748,0.534003831138571,0.47745842798894
max,0.871308109292993,0.859025863743802,0.887866971460163,0.579306593911143,0.530771831775944
mean,0.565113008131257,0.58395615002431,0.621779664878541,0.412034599830285,0.4243686109633
Std Dev,0.219695676978434,0.174760842633681,0.165087448386724,0.0988014929902679,0.06762262443173

Left Ear_Mathilde_Mathilde_Chine4
min,0.186646374754898,0.165893570966217,0.231914217515857,0.219833574780346,0.251500668166408
Q1,0.345580359733598,0.386002940509329,0.442625572257808,0.336057768711209,0.360522767902482
Q2,0.392088810412777,0.467223019000137,0.515559740163077,0.350040591974642,0.392137229083287
Q3,0.49271520505812,0.51248866610639,0.605222467105344,0.392201391181965,0.443382924114396
max,0.76001699194658,0.890143732269153,0.900808157759675,0.489071862816013,0.495008780653508
mean,0.425028460423927,0.468467290205676,0.525583522463999,0.361176815246284,0.393026747218025
Std Dev,0.117237634645576,0.118959777685543,0.150933181913305,0.0494732546281639,0.0557452758752851

Left Forehead_Mathilde_Mathilde_Chine4
min,0.0680566584968241,0.124906091168415,0.0713516938855012,0.00539574128630944,0.0105272838965273
Q1,0.518039323446606,0.439420219910704,0.382171765782514,0.119337679761426,0.0997188799282151
Q2,0.612187658018839,0.577432425623784,0.470261579217905,0.151705560157399,0.142294088400996
Q3,0.711208767550175,0.703982862788109,0.57814149544956,0.185973068035124,0.165079396973628
max,0.815289205193301,0.830201489081524,0.834770816199781,0.325690270958023,0.278917024931811
mean,0.57977834266,0.555946056899282,0.468130200663251,0.157407130151574,0.140074034648847
Std Dev,0.176225139131168,0.179694136687298,0.181285631266299,0.0675272834856254,0.056891757907234

Right Forehead_Mathilde_Mathilde_Chine4
min,0.51509423392235,0.477227937552225,0.319865438823033,0.220990899844766,0.153723188431848
Q1,0.638720519588244,0.673078500949099,0.610686191580663,0.381260378590602,0.245095139840376
Q2,0.638720519588244,0.695059270135931,0.610686191580663,0.968765817123175,0.933358958904811
Q3,0.67274700619746,0.695059270135931,0.615855101887853,0.968765817123175,0.933358958904811
max,0.919833238902177,0.852015514101726,0.844873344986947,0.968765817123175,0.9516070092331
