,delta ,theta ,alpha ,beta ,gamma
max,0.851778396921254,0.898688370853239,0.875323671474234,0.913506920353502,0.928511168563377
mean,0.55222544803236,0.571435666607469,0.457878882505249,0.574861376638643,0.57844759788199
Std Dev,0.152581252310261,0.15808199849591,0.173085257595883,0.222375748588604,0.184796010844343

Right Forehead_Mathilde_Mathilde_Vietnam3
min,0.227960065205229,0.221647327107226,0,0.0872780525608591,0.168891517527107
Q1,0.387269556273837,0.392774191660622,0.251035180468001,0.342910933217836,0.371523554108759
Q2,0.478615337105486,0.533380596820772,0.43124190254883,0.576680532594599,0.634702482907445
Q3,0.68401495193354,0.682451452428184,0.547662520377823,0.689492231255229,0.70250089914736
max,0.868126841991739,0.96467508162791,0.985345567221636,0.881125540790397,1
mean,0.529722794596548,0.543846848257645,0.443582063521932,0.523284067699493,0.575215314670391
Std Dev,0.179915099327511,0.193794645503911,0.228821784772289,0.216075611531968,0.201136421587068

Right Ear_Mathilde_Mathilde_Vietnam3
min,0.270186829634297,0.273369120240401,0.285062124402853,0.196604112375473,0.341765773826304
Q1,0.442061930817553,0.51006445213069,0.428972224622213,0.465157872222681,0.472281872028555
Q2,0.53361323005926,0.594834717081467,0.536911806752614,0.567979617337879,0.54477369002522
Q3,0.664001497147028,0.674883338677493,0.682938500176548,0.663444706609717,0.611628042811471
max,0.886360856071823,1,0.97664428622184,1,0.897972777284964
mean,0.54928935742637,0.594964527876031,0.570321855499912,0.5741449382106,0.557137484571662
Std Dev,0.145449379880639,0.150908745271966,0.176321462418492,0.184320207565601,0.114306597449531

Left Ear_Mathilde_Mathilde_Vietnam4
min,0.307192203271655,0.341331026483899,0.2268780251771,0.260965148470382,0.26580426899007
Q1,0.497555826378417,0.512183401782716,0.468227412512618,0.385660863950875,0.363367748493487
Q2,0.565441344020395,0.608186392227704,0.496286794794618,0.468412190894007,0.47825104494456
Q3,0.62005769241069,0.674067190161441,0.626740242213999,0.528820795925912,0.503902141949365
max,0.812530339761508,0.859511631848229,0.867268485875288,0.709835311993588,0.565831419763312
mean,0.569311655815207,0.595855424616946,0.530256563582792,0.462228821763959,0.439998039975815
Std Dev,0.109445500778619,0.120298456198848,0.140436276423509,0.097431466225368,0.0891369321142458

Left Forehead_Mathilde_Mathilde_Vietnam4
min,0.221534030683267,0.218083392447348,0.094909652153962,0.222843673293052,0.318393720832117
Q1,0.3568326198874,0.370508646792869,0.222639547319906,0.309684137370561,0.372864630707209
Q2,0.486244661175768,0.455844966224001,0.336423240252407,0.341969007404545,0.412304013016362
Q3,0.587910600134481,0.551298695703409,0.487864058171031,0.412115352419447,0.459950490737594
