,delta ,theta ,alpha ,beta ,gamma
mean,0.599334592739833,0.566308532609691,0.480334226643126,0.340934198908081,0.370847876417891
Std Dev,0.146553872109234,0.16635879882222,0.191565677373645,0.105049941379125,0.102818268178639

Right Forehead_Mathilde_Mathilde_Guinee3
min,0.140553743022714,0.0783199126404419,0.0124394277535808,0.0769530095513107,0.153617745630738
Q1,0.27267032737651,0.238959206889889,0.191100646962337,0.166447406387216,0.268649625317409
Q2,0.349374692504061,0.380674711277108,0.294920833543558,0.219424155438669,0.310092261105234
Q3,0.460646679263127,0.52309371422079,0.47403605548148,0.294081729399837,0.342387063182708
max,0.932882338735583,0.97886515242618,0.714655229770498,0.394205639353865,0.488942659417633
mean,0.390901570155264,0.409393270665352,0.312279881377872,0.228541192684444,0.305744309730708
Std Dev,0.191162063025894,0.217441528001674,0.187553633610405,0.0781112804889598,0.062995572403481

Right Ear_Mathilde_Mathilde_Guinee3
min,0.0969849791649439,0.236915758011743,0.210266057041703,0.173655262252888,0.304199682553232
Q1,0.335717024965223,0.342460567148905,0.371346666383908,0.309252025655243,0.417458464275694
Q2,0.390351159905662,0.451300792861699,0.466413003240347,0.350515870783633,0.44957118422797
Q3,0.495948623373343,0.527274173689225,0.584156064472279,0.425126926912943,0.505844043912649
max,0.837090482850975,0.886685017929438,1,0.765624910925018,0.572389975802585
mean,0.422290711485088,0.462034167354755,0.487972405942673,0.360532128863614,0.454709119470505
Std Dev,0.139420802943682,0.139383221689158,0.166408245739741,0.10273079481961,0.0632956132153919

Left Ear_Mathilde_Mathilde_Guinee4
min,0.267933894066613,0.364734450684833,0.205352887117348,0.396336776547161,0.446397209249622
Q1,0.430031582069244,0.490550595913786,0.433102912548166,0.487079534317539,0.542104211929439
Q2,0.507925143565658,0.548089530922909,0.50058697706752,0.551410731362354,0.602190073295231
Q3,0.623318846673409,0.635815596482894,0.569012394042628,0.59756384946237,0.673784035352751
max,0.927542004912892,0.97645278737546,0.75862731028639,0.846726604728517,0.948881281239651
mean,0.543089597086018,0.580953603536487,0.496962333656967,0.554929700446088,0.614565596906062
Std Dev,0.151197028680752,0.124016362410283,0.126986926110631,0.0952330539904795,0.106976519639147

Left Forehead_Mathilde_Mathilde_Guinee4
min,0.159940091011987,0.129869724224054,0.00274824702138997,0.306491637031098,0.278374967822849
Q1,0.352237540536142,0.333428655987532,0.209834978461583,0.591878727798737,0.578836082587554
Q2,0.543844556299037,0.476410158256734,0.434298054661868,0.660654453082872,0.649358589806584
Q3,0.685414382682041,0.675035739759574,0.61447350137909,0.735013818942491,0.716458008700397
max,0.81685878244947,0.816250661498612,0.85960778629304,0.878145424356821,0.991018291833731
mean,0.527133972885745,0.48377149287287,0.421476843740121,0.640261041214036,0.650893518825656
Std Dev,0.196404851814775,0.19875900363882,0.237975786052657,0.139630374235839,0.148349337357373

Right Forehead_Mathilde_Mathilde_Guinee4
min,0,0,0.0637381647653659,0.12732144256586,0.272753362853855
Q1,0.232073417397367,0.225408086867621,0.191322500552603,0.319634461342849,0.430075907801809
Q2,0.513026608546162,0.422884268336212,0.368729538095948,0.373250890166005,0.500604734148178
