,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.693387354073757,0.59813710031125,0.412704213403193,0.202717663634073,0.246059545820302

Right Ear_Mathilde_Mathilde_Maghreb3
min,-0.5494261,-0.29154894,0.02150049,-0.005967116,-0.18905386
Q1,0.048111148,-0.0074501971,0.36126602,0.22352409,0.044018209
Q2,0.3625705,0.13872443,0.56021166,0.28939074,0.094983794
Q3,0.638497,0.30547016,0.64634185,0.36981153,0.2029627
max,1.2935534,1.0607595,0.97455466,0.7352197,0.5717218
mean,0.388837834083051,0.173950055352542,0.522140872033898,0.318174499983051,0.116796687813559
Std Dev,0.417887665426439,0.271647549306849,0.229473708472224,0.167022994530303,0.123305440809681

Left Ear_Mathilde_Mathilde_Maghreb4
min,-0.19543622,-0.39347896,0.2025439,0.1570351,-0.06963387
Q1,0.24627539,0.09491404,0.36676945,0.4030444,0.21620427
Q2,0.44264024,0.17595837,0.5735234,0.49479485,0.323601305
Q3,0.88416635,0.474432275,0.798774575,0.6097048,0.42590877
max,1.7329655,1.0930248,1.1796906,0.8008512,0.5437144
mean,0.533046867833333,0.313206340833333,0.629287395,0.503172841666667,0.3091790225
Std Dev,0.430864433088605,0.374784991295286,0.302698672113191,0.157482730569563,0.152098264051649

Left Forehead_Mathilde_Mathilde_Maghreb4
min,0.5730497,-0.24100845,-0.24746524,-0.19212958,-0.66716415
Q1,0.914092275,0.06407746425,0.09888403925,0.2893851675,0.1755760675
Q2,1.06741575,0.272936165,0.296765255,0.5469619,0.348249375
Q3,1.27795205,0.62921345,0.6477958,0.641811125,0.505209475
max,1.6843679,1.2896848,1.2099435,0.8339804,0.8455994
mean,1.09773263,0.365198292566667,0.376708219616667,0.453188060833333,0.277381422
Std Dev,0.272014699003249,0.406150981028036,0.374014671951521,0.247348504294585,0.363270396575706

Right Forehead_Mathilde_Mathilde_Maghreb4
min,-0.6313077,-0.7217503,-0.482999,-0.39556646,-0.7494922
Q1,-0.3096405425,-0.496306975,-0.0646464065,0.2859617325,0.16595506
Q2,-0.0121752,-0.209091455,0.22270363,0.466142905,0.27968824
Q3,0.78569019,0.31897705,0.582340645,0.5648861,0.40357394
max,1.5862536,1.1466175,1.098991,0.7554725,0.59454346
mean,0.262404622,-0.0260458346666667,0.27465794542,0.394157693916667,0.191160956
Std Dev,0.680259055518668,0.558514964996008,0.416931861617505,0.25050000182734,0.331723753527255

Right Ear_Mathilde_Mathilde_Maghreb4
min,-0.5365432,-0.36087692,0.1417465,0.1892105,-0.16020769
Q1,0.0608751765,0.136216865,0.472946325,0.361177775,0.1184135575
Q2,0.3156582,0.32035919,0.60959535,0.45183995,0.24666182
Q3,0.665636795,0.52551895,0.8362539,0.4910481,0.3145617225
max,1.4786775,1.0277132,1.3173624,0.7038094,0.52705646
mean,0.389477518708333,0.308666133833333,0.653346021666667,0.430823286666667,0.2173012955
Std Dev,0.431986275581965,0.305124650901229,0.297991106124081,0.106097811930125,0.14317848651315

