,delta ,theta ,alpha ,beta ,gamma
Q2,0.5401175,0.43705935,0.8050712,0.57763665,0.0434715965
Q3,0.69526463,0.6112662,0.8729616,0.628409,0.08642370375
max,1.5270278,1.0287398,1.2294127,0.7903324,0.31407657
mean,0.546878043064516,0.474075358064516,0.77964205483871,0.583079875806452,0.0385972562741935
Std Dev,0.258106492164257,0.216393245720059,0.153538416404856,0.0768623822556373,0.0862363880427032

Left Forehead_Chaikou_Chaikou_France4
min,1.606909,0.5266153,0.9868319,1.261456,1.276896
Q1,1.606909,0.5266153,0.9868319,1.261456,1.276896
Q2,1.606909,0.5266153,0.9868319,1.261456,1.276896
Q3,1.606909,0.5266153,0.9868319,1.261456,1.276896
max,1.606909,0.5266153,0.9868319,1.261456,1.276896
mean,1.606909,0.5266153,0.9868319,1.261456,1.276896
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_France4
min,0.1978299,0.2502819,0.4084648,0.4361075,0.1526783
Q1,0.761052975,0.522607275,0.72696335,0.653925125,0.312682175
Q2,0.91385125,0.60391205,0.81674965,0.7077449,0.38776935
Q3,1.0950847,0.7291526,0.9628882,0.792453675,0.4519493
max,1.7290839,1.0707489,1.1120481,1.0329009,0.6797275
mean,0.950382529032258,0.627303635483871,0.826779780645161,0.717338116129032,0.384153451612903
Std Dev,0.338114612233518,0.164157672404798,0.163538240750614,0.115903043134482,0.100827167167659

Right Ear_Chaikou_Chaikou_France4
min,-0.13928515,-0.27748626,0.1223551,0.1526093,-0.22955616
Q1,0.15013912,0.1453238975,0.43793225,0.324984,0.01083830975
Q2,0.318894505,0.28239252,0.6023742,0.39879735,0.06933043
Q3,0.520802345,0.4046447075,0.72780995,0.4845864,0.1165027275
max,1.1963422,0.9909527,1.1260011,0.6843953,0.33073643
mean,0.354040665575806,0.29265374983871,0.613939998387097,0.404614482258065,0.0634575480677419
Std Dev,0.276747066618878,0.267316435272891,0.249101725333057,0.111294877363138,0.111648631423133

