,delta ,theta ,alpha ,beta ,gamma
Q2,0.507352609296504,0.404729029122031,0.432564008349298,0.581938014484849,0.421304407015548
Q3,0.727907893079878,0.500940098290062,0.525137206712881,0.644883325300288,0.50189559214759
max,0.887590649099955,0.654844865441868,0.793165870989961,0.783472384292437,0.582787815938149
mean,0.562279933415193,0.425546233979115,0.37772208018534,0.546051705850809,0.404327205157713
Std Dev,0.153537388381049,0.120341570933285,0.231622145357467,0.196062353049718,0.115502557539713

Right Ear_Chaikou_Chaikou_France3
min,0,0.00499346030848566,0.127151807650258,0.164223008967415,0.0808733414255611
Q1,0.265958712432222,0.192491199125419,0.294699721575259,0.304674439695083,0.215845837062854
Q2,0.317839106621264,0.255360526999294,0.360731170412889,0.358274485990792,0.260498505558797
Q3,0.390451676044555,0.358036620307824,0.457415894992094,0.403289532096244,0.300280371340643
max,0.65087197696822,0.586308001736171,0.643205617770434,0.540084394540912,0.491731424284742
mean,0.32848881441339,0.2791961462371,0.376265392480044,0.359735640376845,0.264944945516555
Std Dev,0.113139915437656,0.125641357869826,0.113404154673544,0.0721352838556117,0.0803002411342419

Left Ear_Chaikou_Chaikou_France4
min,0.153346522894392,0.20551406172142,0.274830903173486,0.336945402772669,0.057900474867645
Q1,0.32005406026475,0.310391468343886,0.433672023834165,0.419347900362755,0.150983275157067
Q2,0.378730850063248,0.373360701059445,0.504198979779401,0.457912642216613,0.183381143609509
Q3,0.438994795879929,0.46438636930945,0.546717294205274,0.498161648127243,0.21181863892947
max,0.762077347321198,0.68252252995259,0.769955041327821,0.626523953273043,0.362541798584461
mean,0.381356854172582,0.39270211541841,0.488273246692706,0.462227676436159,0.180153967197594
Std Dev,0.100256547824766,0.113068687003157,0.0961578465460861,0.0609314809677367,0.0570949142751244

Left Forehead_Chaikou_Chaikou_France4
min,0.793105677065817,0.420155015947258,0.618031842641704,1,1
Q1,0.793105677065817,0.420155015947258,0.618031842641704,1,1
Q2,0.793105677065817,0.420155015947258,0.618031842641704,1,1
Q3,0.793105677065817,0.420155015947258,0.618031842641704,1,1
max,0.793105677065817,0.420155015947258,0.618031842641704,1,1
mean,0.793105677065817,0.420155015947258,0.618031842641704,1,1
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_France4
min,0.245775755243759,0.275766707480651,0.255812821817247,0.345717567636128,0.255684118213615
Q1,0.464549024684864,0.418060763316046,0.45528169360302,0.518389166962621,0.361618605199422
