,delta ,theta ,alpha ,beta ,gamma
Right Forehead_Chaikou_Chaikou_Chine3
min,0.403713381181844,0.364116444128071,0.317326982318497,0.177563878669105,0.0100701184956074
Q1,0.53118220767324,0.559677555417512,0.559403102531888,0.279019660661429,0.187141136625724
Q2,0.668827538798638,0.646464701473589,0.606907724389448,0.324861055058129,0.231021654355901
Q3,0.781237872926885,0.69284405964145,0.678399325575703,0.385021499624528,0.271001979040049
max,1,1,0.829825770129364,0.51448578170764,0.356435202804844
mean,0.673592854455641,0.63744443569527,0.613386363145806,0.331883216198961,0.220004765693572
Std Dev,0.149851739184951,0.122358750462753,0.106641182418712,0.0797940179321357,0.0762361618596202

Right Ear_Chaikou_Chaikou_Chine3
min,0.0903591154871157,0.122488343318242,0.28443953797217,0.204513772845594,0.212828133438944
Q1,0.284379437074293,0.310605335281424,0.48809701622935,0.345734751522282,0.358894688727239
Q2,0.421482257361618,0.39485422490993,0.611633755692056,0.418412369831819,0.412649624961779
Q3,0.592257104687687,0.553243058708685,0.700916678193959,0.583510024824925,0.536152577804876
max,0.830330408911418,0.923032151616378,0.901997275436453,0.728538891545674,0.831865921985088
mean,0.450203379225419,0.426609924985833,0.607915450482634,0.456447939456349,0.463717362776941
Std Dev,0.184679828823618,0.167260154070612,0.138773750376316,0.135210246723856,0.143941363279118

Left Ear_Chaikou_Chaikou_Chine4
min,0.116401512604634,0.134104154754884,0.36382069076356,0.0785781372717654,0
Q1,0.310545965510705,0.342417733226713,0.552202492952179,0.332014961221969,0.125575003617502
Q2,0.389181999668838,0.396444549079915,0.588452513485664,0.379828803229034,0.181484321602061
Q3,0.46311887416405,0.527585739048783,0.725414822379171,0.430326491905763,0.218853861998716
max,0.691552248136387,0.747292701199409,0.886466603610633,0.703644230615111,0.52774898352731
mean,0.391074619901224,0.430355298420742,0.617801049788173,0.388177822026277,0.194816989209586
Std Dev,0.141007769825457,0.153012475438848,0.126156792147533,0.107605232528235,0.107562688798854

Left Forehead_Chaikou_Chaikou_Chine4
min,0.127619831782152,0.015205838491695,0.391112562249757,0.776995940023057,0.746407657830262
Q1,0.2171026673946,0.015205838491695,0.490053896989071,0.776995940023057,0.746407657830262
Q2,0.225566810412775,0.21142581287823,0.515772031446327,0.878863180140634,0.854112379235823
Q3,0.490046465680803,0.21142581287823,0.515772031446327,0.878863180140634,0.854112379235823
max,0.490046465680803,0.455205085493329,0.803810938705946,0.954989243010828,0.979753365576082
mean,0.332572130094875,0.140540223022297,0.527580314209077,0.844303133713418,0.822736099503785
Std Dev,0.134938170711754,0.11875321949122,0.07443130888915,0.0585975854253112,0.0703365911348058

Right Forehead_Chaikou_Chaikou_Chine4
min,0.232864477540428,0.126968783086044,0,0.0617234435857938,0.0857095019641024
Q1,0.500183137366451,0.304018764844946,0.312902303295715,0.247268205603108,0.256991164461657
Q2,0.667224063163886,0.496874805433967,0.566682769992812,0.360928128527899,0.257588157037789
Q3,0.674641082570472,0.6645163763268,0.77830590852537,0.633364118282145,0.305859478284725
max,0.950485708554622,0.821193625989272,0.91616186005531,0.692825759263056,0.402297588080661
mean,0.60591687137408,0.490625757715034,0.532989471781222,0.414588213926537,0.264728535708549
Std Dev,0.159567398578334,0.197590260423221,0.253287868020806,0.192085039886663,0.073428853375118

Right Ear_Chaikou_Chaikou_Chine4
min,0,0.130193982956578,0.154176721414804,0.0710884474984049,0.122153932322442
Q1,0.236973342995216,0.222640409191251,0.476724376700117,0.288098377707758,0.206903288121265
Q2,0.303273475421405,0.302751832003656,0.559494857876255,0.32944343914568,0.249940324850409
Q3,0.409681329032139,0.373171126419052,0.649203516423522,0.369981499126929,0.292778727579604
max,0.73983352126251,0.789104113648923,0.786770124987561,0.538594421676368,0.432945524961286
mean,0.337766873842078,0.325527502454991,0.546172400579397,0.326707163844154,0.261225942442739
Std Dev,0.160733802772679,0.152983472783472,0.165265319874743,0.0884305874675924,0.0751840487411483

