,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.410388711338974,0.248952575018494,0.217531927685659,0.113059058277041,0.129193182209829

Right Ear_Tristan_Tristan_Guinee3
min,-0.23414235,-0.41173267,0.6328836,-0.23649181,-0.9192491
Q1,0.2698910875,0.15144148,0.990500475,0.03899947325,-0.6391436
Q2,0.52642445,0.2941321,1.19745075,0.094597685,-0.56283875
Q3,0.7806024125,0.41605226,1.350036675,0.17979817,-0.447900825
max,1.6771809,1.1267111,1.6509875,0.36932376,0.4580695
mean,0.557208316166667,0.31105159605,1.17532997666667,0.10095413635,-0.533329093333333
Std Dev,0.457854715598029,0.289681563703179,0.251217050845029,0.118828140755823,0.202273341410146

Left Ear_Tristan_Tristan_Guinee4
min,-0.19130549,-0.1284622,0.8498057,-0.066366315,-0.8263798
Q1,0.7049533,0.330369625,1.08077395,0.06941066,-0.637422225
Q2,0.9219092,0.60631095,1.19918975,0.138419445,-0.522113225
Q3,1.209038125,0.85882225,1.287917025,0.2169289325,-0.39540425
max,1.7878538,1.3530582,1.8270783,0.4719778,0.2985381
mean,0.927857730833333,0.614425606666667,1.20595677,0.150091676166667,-0.468300599833333
Std Dev,0.452462272399883,0.339296979878791,0.199623148905075,0.130739080629631,0.240866888605226

Left Forehead_Tristan_Tristan_Guinee4
min,-0.7026272,-0.62388927,-0.48180348,-0.42123756,-0.762789
Q1,-0.10979009,-0.329033355,-0.071104915,-0.26613932,-0.623836075
Q2,0.568880965,-0.018680465,0.149194422,-0.195242585,-0.5677726
Q3,1.122685425,0.39249654,0.37308399,-0.122230065,-0.47004785
max,1.7709424,1.1344035,1.389247,0.31422406,-0.3192604
mean,0.55993164575,0.0512543202666667,0.18035705085,-0.1801868535,-0.549660468333333
Std Dev,0.691425131052015,0.45481059113552,0.344076466522772,0.133591386414295,0.103365109561836

Right Forehead_Tristan_Tristan_Guinee4
min,-0.8051113,-0.7630315,-0.5085458,-0.6382148,-1.2289714
Q1,-0.42247789,-0.5942867725,-0.19748806,-0.52866255,-1.0416015
Q2,-0.19840005,-0.45367533,-0.045061115,-0.46926305,-0.97463435
Q3,-0.056242655,-0.337616975,0.0304473935,-0.386293125,-0.8519778
