,delta ,theta ,alpha ,beta ,gamma
mean,-0.0871104902833333,-0.425354433316667,-0.0252299087466667,-0.380001752333333,-0.828693432666667
Std Dev,0.264515497720787,0.208451620654835,0.231826357055448,0.136917941479793,0.247931884428152

Right Ear_Tristan_Tristan_Maghreb3
min,-0.09577938,-0.18569128,0.8093811,0.08803704,-0.61960036
Q1,0.42601097,0.242513535,1.100503125,0.1829917525,-0.29860373
Q2,0.908538925,0.463682415,1.26171085,0.236820495,-0.236110985
Q3,1.159339225,0.691766425,1.41208235,0.29762896,-0.180930625
max,1.6650028,1.2118345,1.7615954,0.45897996,-0.03159868
mean,0.822531182165,0.47333690535,1.27952116166667,0.236642624833333,-0.2549892275
Std Dev,0.457549850052031,0.33020067941804,0.231255535431462,0.0805174239030686,0.121498580187088

Left Ear_Tristan_Tristan_Maghreb4
min,0.149779,0.04528987,0.3855433,-0.071140036,-0.7242275
Q1,0.7107059,0.37638203,0.9674097,0.081493095,-0.47065817
Q2,1.0528406,0.566079,1.1316681,0.15473625,-0.3547483
Q3,1.195849,0.8059616,1.2386035,0.224781225,-0.240936525
max,2.006559,1.2484778,1.5673544,0.58545226,0.6230746
mean,1.02453892711864,0.606101869322034,1.10165592372881,0.166281876084746,-0.317406095372881
Std Dev,0.399062037375566,0.311734827491286,0.241919341350355,0.123636793681415,0.230192235377452

Left Forehead_Tristan_Tristan_Maghreb4
min,-0.30947992,-0.5879246,-0.26224318,-0.22000045,-0.44939414
Q1,0.1188142,-0.3178002,-0.022741094,0.0442668145,-0.205194905
Q2,0.4414356,0.0005392351,0.06083856,0.1190518,-0.15034433
Q3,0.75917315,0.203971325,0.18886211,0.179067655,-0.06987216
max,1.9603106,1.2626793,0.6814592,0.42956537,0.34293133
mean,0.535120490677966,0.022574185361017,0.0993933824915254,0.106438491135593,-0.120059453898305
Std Dev,0.559293247453179,0.416248181069626,0.199346924041187,0.133764464297511,0.156003815796862

Right Forehead_Tristan_Tristan_Maghreb4
min,-0.65956247,-0.75382143,-0.39213935,-0.8156818,-1.1985687
Q1,-0.37451632,-0.52279785,-0.20701581,-0.5482782,-1.05096475
