,delta ,theta ,alpha ,beta ,gamma
mean,0.371005696676425,0.388358944748837,0.242866547404983,0.401518473574632,0.363261106489678
Std Dev,0.17171543911811,0.141069695671141,0.0756779680894845,0.0459361295016791,0.051624924285033

Right Forehead_Tristan_Tristan_Maghreb3
min,0.0277508342817349,0.0797984415677939,0.0220351260998878,0.142293188480261,0.0182357232793975
Q1,0.166970973015396,0.191890253674416,0.167230013037808,0.223151306321403,0.116606900212658
Q2,0.204598202197767,0.246815416715693,0.223991584645998,0.247993300374574,0.152284483746403
Q3,0.268385567718196,0.31727780723387,0.298215036850239,0.287174464520827,0.225200018126086
max,0.543495849930574,0.461323858035943,0.442760475742949,0.550123740258517,0.65856489818642
mean,0.226567619410716,0.255013751005177,0.229142890935268,0.265827576878706,0.191554029569257
Std Dev,0.090421498354301,0.0837676682922714,0.0947221340391878,0.0835396635896451,0.128400992754435

Right Ear_Tristan_Tristan_Maghreb3
min,0.223604261860768,0.351323981004076,0.570157333146319,0.551398648396758,0.299840860730158
Q1,0.401972129453985,0.523400930040938,0.68910713602492,0.609334698652613,0.46608122169822
Q2,0.566918611096403,0.612279113468884,0.754975141412893,0.642177984136622,0.498445475761215
Q3,0.652651731118149,0.703936187817507,0.816415564148204,0.679279905583873,0.527022732054365
max,0.825506851172233,0.912928998039582,0.95922340701409,0.777727253785074,0.604359981485498
mean,0.537517880159189,0.616158834540993,0.762252272237868,0.642069457717619,0.488668657083577
Std Dev,0.156408011515309,0.132693336211447,0.0944889015324683,0.0491272249149314,0.0629226787440375

Left Ear_Tristan_Tristan_Maghreb4
min,0.307545493449748,0.444145290304453,0.39698107565601,0.454277706929888,0.245655701463358
Q1,0.499291728367035,0.577196873908959,0.634726377069331,0.547405899470352,0.376976260653122
Q2,0.616246434157675,0.653427861267514,0.701840860424393,0.59209477269481,0.437004612441616
Q3,0.665132166436775,0.749826277373671,0.745533689061266,0.634832295508858,0.495946385626014
max,0.9422638035713,0.927654351528759,0.879858306895188,0.85489357166291,0.943407535920401
mean,0.606571841591584,0.669511317135792,0.689578159066035,0.599139267438356,0.456343698887961
Std Dev,0.136414643628584,0.125272710964806,0.0988460353219438,0.0754362506463197,0.119213838167687

Left Forehead_Tristan_Tristan_Maghreb4
min,0.150553256560806,0.189683849735193,0.13230143108627,0.363451415116184,0.387988650480503
Q1,0.296960542335856,0.298235134036872,0.230159797929912,0.524692506937185,0.514456548210535
Q2,0.407244857018829,0.426161950436931,0.264309681876211,0.570322118825182,0.54286301274976
Q3,0.515859685268897,0.507912486955733,0.316618936170244,0.606940434018629,0.584538598529845
max,0.926454334332173,0.933361318629881,0.517889612114713,0.7597801175174,0.798324647269596
mean,0.439269930261238,0.435016841555086,0.280062830527147,0.562626183815523,0.558547192160051
