,delta ,theta ,alpha ,beta ,gamma
max,0.835496915432126,0.643740815676412,0.479985353942039,0.931169496471657,0.903273201346051
mean,0.376674696515321,0.29625491939231,0.265268558330351,0.529454554832972,0.592121655565403
Std Dev,0.169521805035521,0.147624909320862,0.0827803151764074,0.154969400204855,0.140703679117605

Right Forehead_Tristan_Tristan_Vietnam3
min,0.125884439278131,0.0446358899591372,0,0.0171580556081687,0.0654381729673304
Q1,0.219502396833209,0.169279502751274,0.152062834790056,0.126574503450968,0.14099162518861
Q2,0.263256590225566,0.236218721352236,0.197671010238833,0.168876482715777,0.189171002055977
Q3,0.348122398759619,0.291771228655536,0.271714732228741,0.212574045785306,0.238031964460856
max,0.544813746146708,0.364501475551369,0.379941087231396,0.635871108004917,0.683630013683899
mean,0.290737292656787,0.226615433531536,0.210767861211019,0.189484195985439,0.216768290065264
Std Dev,0.101819131324964,0.0807129398658283,0.0881640651607588,0.107232571175936,0.126431844987285

Right Ear_Tristan_Tristan_Vietnam3
min,0.179637606119068,0.313603835620267,0.615781574970744,0.47338963934257,0.422927665391721
Q1,0.392144551520126,0.449176608773674,0.731332231833009,0.564758371425243,0.524308000767713
Q2,0.535075067171834,0.530768348572622,0.790599396737551,0.619324596851747,0.57421387822072
Q3,0.70886351135988,0.631567749990063,0.840234474398309,0.660143049595312,0.606650861478843
max,0.901587994238026,0.870206600101238,0.92914874330268,0.773826619031179,0.742583505466001
mean,0.539571608644312,0.542494056461752,0.787783327708697,0.613279132621464,0.569469350939164
Std Dev,0.20498692187691,0.133255271077948,0.0816446747117578,0.065724461185016,0.074656327636257

Left Ear_Tristan_Tristan_Vietnam4
min,0.264267227702014,0.366134188289816,0.526267858235013,0.439124601505269,0.343094518475721
Q1,0.502237015793791,0.492342933647898,0.703386911175907,0.526434623790999,0.429216575525248
Q2,0.664807095134437,0.594446937138407,0.753705469010654,0.574306095478941,0.458289212902554
Q3,0.818185827516009,0.650235825903839,0.804818481966695,0.607282394059981,0.502477572629979
max,0.996826319381376,0.878270099153982,0.936685705273604,0.818677605676825,0.996116778890097
mean,0.648084379005131,0.587224006032779,0.752873197688723,0.575151861793067,0.481475042371181
Std Dev,0.198895182365262,0.126437475037098,0.0887472125977353,0.072477307843352,0.108703413319101

Left Forehead_Tristan_Tristan_Vietnam4
min,0,0.0679378833137437,0.103388722683649,0.205469305201698,0.356988588096893
Q1,0.286544872743748,0.159605617759629,0.170724770045037,0.287008760379684,0.394466057364475
Q2,0.348088938251015,0.26071405391802,0.210451367971059,0.394763623104165,0.450769216552022
Q3,0.511713802600188,0.410302204237661,0.257113667189029,0.585579977470057,0.639775371876272
max,0.894744443653472,0.598625216596141,0.464705491583041,0.77123122398856,0.968112246328779
mean,0.400982152000654,0.286809966250965,0.219013734995621,0.431603467699105,0.514854583330214
Std Dev,0.211764364345997,0.144293417166819,0.0703179664290272,0.158788398853648,0.146492487568391

Right Forehead_Tristan_Tristan_Vietnam4
min,0.062760196800659,0,0.0312979632516361,0,0
Q1,0.20889695132376,0.140615203488402,0.151722502685842,0.0972861681885824,0.141598071337789
Q2,0.311457367110642,0.200180963090654,0.192211745817987,0.164523219315264,0.190363782756065
Q3,0.394628918953355,0.273628238947798,0.245996481691092,0.23718602718042,0.294217432071007
max,0.850418617602303,0.777246073491542,0.528839341710592,0.466285261623696,0.672148951250928
mean,0.32658041529772,0.228774856469627,0.198901790039607,0.181354995535134,0.234573237774177
Std Dev,0.166937241094822,0.138578909240261,0.092463615072775,0.102709497481002,0.142976936383909

Right Ear_Tristan_Tristan_Vietnam4
min,0.21840307770936,0.298444475728804,0.541475188824448,0.483468912274861,0.40757641566021
Q1,0.466920063591402,0.435322934580319,0.738023309906376,0.567807493269446,0.515994142476972
Q2,0.636007568265755,0.541506671796894,0.767567120895087,0.605761142350232,0.549051867678397
Q3,0.755610841410235,0.637354364975681,0.84353816474775,0.676024995115579,0.596083451861781
max,0.870103237584985,0.82118106652759,0.989997538475402,0.951039325421983,0.98329818566675
mean,0.600315770486064,0.547684503488041,0.788466025861382,0.628001539359989,0.56721871246733
Std Dev,0.182322762029538,0.140310587090129,0.0911718817741085,0.0901945514156411,0.0952819647475626

