,delta ,theta ,alpha ,beta ,gamma
mean,0.0328842650166667,-0.260743202433333,-0.00109094366666667,-0.418119168166667,-0.905659433833333
Std Dev,0.297358466085303,0.176155123593067,0.197401004669208,0.159874508380102,0.236687253779012

Right Ear_Tristan_Tristan_Vietnam3
min,-0.29157767,-0.07089195,0.9057424,0.005159344,-0.51971793
Q1,0.329039875,0.22499417,1.1644625,0.1413822375,-0.3299284575
Q2,0.7464624,0.403067265,1.2971628,0.22273577,-0.236501955
Q3,1.2540042,0.623060875,1.408296675,0.28359256,-0.1757781675
max,1.8168479,1.1438876,1.6073774,0.45308495,0.078695096
mean,0.759594359166667,0.428658496416667,1.29085756833333,0.213722504616667,-0.24538396675
Std Dev,0.598655634394719,0.290828196633458,0.182803966498191,0.0979894989486139,0.139760684242398

Left Ear_Tristan_Tristan_Vietnam4
min,-0.04442044,0.04375498,0.7053195,-0.04592687,-0.6691699
Q1,0.65056026,0.31920421,1.1018924,0.0842448375,-0.50794475
Q2,1.1253393,0.5420451,1.2145566,0.15561707,-0.4535192
Q3,1.5732754,0.66380375,1.3289996,0.204781885,-0.3707962
max,2.0949874,1.1614861,1.6242528,0.5199539,0.5533231
mean,1.07650131491525,0.526281130508475,1.21269312881356,0.156878034576271,-0.410114072881356
Std Dev,0.580864966831535,0.27594843006561,0.198706682778759,0.108057410477998,0.203498670588017

Left Forehead_Tristan_Tristan_Vietnam4
min,-0.8162017,-0.60705525,-0.24151486,-0.39428675,-0.64315945
Q1,0.02064048,-0.406991405,-0.09074818,-0.27271846,-0.5729996
Q2,0.20037732,-0.18632333,-0.001799578,-0.11206526,-0.46759704
Q3,0.678236815,0.1401512,0.10267819,0.172425455,-0.113767292
max,1.7968616,0.55116415,0.5674802,0.44921544,0.5008971
mean,0.354849713372881,-0.129369281864407,0.0173717232542373,-0.0571402313559322,-0.347625766372881
Std Dev,0.618448868439872,0.314918831812348,0.157443253031439,0.236739797664085,0.274241861971606

Right Forehead_Tristan_Tristan_Vietnam4
min,-0.6329132,-0.75532895,-0.40292743,-0.70062375,-1.3114614
Q1,-0.20612699,-0.44843778,-0.133294615,-0.55557847,-1.04638215
Q2,0.093396366,-0.31843615,-0.042638436,-0.45533383,-0.9550901
Q3,0.336295365,-0.15813826,0.077786602,-0.346999855,-0.76067045
max,1.6674099,0.94100225,0.7110771,-0.00543267,-0.0531622
mean,0.137562588525424,-0.256030285084746,-0.0276593008135593,-0.43023910440678,-0.872327608474576
Std Dev,0.487533151172129,0.302446979693596,0.207027778011724,0.153130995887446,0.267660559962935

Right Ear_Tristan_Tristan_Vietnam4
min,-0.17836475,-0.10397709,0.739369,0.02018667,-0.5484563
Q1,0.547418595,0.194758675,1.17944395,0.145928215,-0.34549245
Q2,1.0412315,0.42650354,1.2455931,0.20251383,-0.2836066
Q3,1.3905278,0.6356901,1.4156937,0.30727117,-0.19556093
max,1.724898,1.0368899,1.743619,0.7172938,0.529326
mean,0.936995114347458,0.439986591254237,1.29238614237288,0.235672342372881,-0.249597283728814
Std Dev,0.532465914254433,0.306226347985395,0.204135562793919,0.134472291468988,0.17837299276173

