,delta ,theta ,alpha ,beta ,gamma
Q3,0.421453060735765,0.397900659623378,0.293098783534993,0.334327036927807,0.285409450651212
max,0.87272651992812,0.569954950799158,0.413816047557541,0.431453959224486,0.364349891264743
mean,0.339622078747376,0.299819596197886,0.230734851361815,0.30149793928688,0.257166454995522
Std Dev,0.174325998943094,0.132970125732555,0.0820096099627002,0.0481607237760426,0.0513900035161669

Right Forehead_Geoffrey_Geoffrey_Chine3
min,0.0823720431416411,0,0.0753553650521316,0.0365470125250977,0.0375093230352176
Q1,0.19584035502008,0.207851547188745,0.174860009831021,0.189402663999144,0.163979528188312
Q2,0.289496218285051,0.258755734875483,0.2216690406118,0.248908869312743,0.214694447087645
Q3,0.380484718851888,0.356459123710501,0.295189438765348,0.298352245642312,0.264016516642258
max,0.800684848375953,0.670964334400815,0.425357706439057,0.382990978967691,0.336800579103358
mean,0.315141589616162,0.288687115296837,0.238193869670597,0.245257423896995,0.20768997932144
Std Dev,0.168211186818207,0.133686241635327,0.0870245715181058,0.0735988524600167,0.0679948014158627

Right Ear_Geoffrey_Geoffrey_Chine3
min,0.27705406752651,0.368828073041573,0.447541109099564,0.422335795387161,0.406700750769294
Q1,0.415161868507152,0.469182938129431,0.588931062932648,0.603936746574682,0.633986517895657
Q2,0.475401360904626,0.543104183695281,0.643979452997802,0.655782925688103,0.678405822788802
Q3,0.629303765181775,0.634406893912485,0.702831965904172,0.711254050023152,0.759070278123848
max,0.843715700144758,0.903541832138551,0.920864533521417,0.846906780639415,0.83402408059397
mean,0.520598534964367,0.57605767552457,0.649419611621453,0.653452790673798,0.679218194596046
Std Dev,0.152102553620555,0.142187339701291,0.09964037095338,0.0846442989356475,0.0930333376767216

Left Ear_Geoffrey_Geoffrey_Chine4
min,0.198984537860506,0.349993054338618,0.457163601817664,0.406604389877888,0.426285581908014
Q1,0.38066941492805,0.473409612917897,0.546144670419179,0.532786411519603,0.524285518225786
Q2,0.459973068965422,0.521215113479065,0.638069483951779,0.579567557485154,0.573788198677017
Q3,0.527766251033945,0.596399639613396,0.669752795340257,0.619081105471159,0.638164464691057
max,0.940697785158366,0.823071114994418,0.795164442473712,0.906620047656633,0.751659158237514
mean,0.479546031177264,0.533882828661957,0.618260449587017,0.587026239447679,0.582516768675251
Std Dev,0.138665904749241,0.104638281635272,0.0789128039347719,0.090820842218476,0.0813327763600064

Left Forehead_Geoffrey_Geoffrey_Chine4
min,0,0.057702996691817,0.0252712293459062,0.10189729703967,0.163895170709169
Q1,0.182760547870179,0.186770869677334,0.146542640768528,0.228793871399975,0.246755688040766
Q2,0.257213857668832,0.250588814395297,0.211054813970967,0.280874163752386,0.283058975203257
Q3,0.362356736462274,0.324363165568987,0.280583474556508,0.319523510268295,0.313091526147045
max,0.745579950430306,0.644512551120856,0.387518533643113,0.427819143581291,0.411159212256976
mean,0.278707284785122,0.265734871207003,0.211208154849091,0.272131445940548,0.277264133845701
Std Dev,0.146321763940346,0.112470875728494,0.0849108660397312,0.0771402628960635,0.0550627016992303

Right Forehead_Geoffrey_Geoffrey_Chine4
min,0.0641653577312224,0.0758786283531089,0.041789480433623,0,0
Q1,0.203452649394945,0.169583640205812,0.165981078041838,0.178415437134025,0.126615300017221
Q2,0.250883661921878,0.24020392584362,0.213998180354464,0.246927217676283,0.201843950197553
Q3,0.332042466252405,0.311068338130377,0.256389420595064,0.295674795088239,0.257680871177786
max,0.72034578905815,0.600506578114663,0.532115776302491,0.398083248359422,0.35558235771608
mean,0.281692500567693,0.25586630781369,0.216029993346557,0.241114723824321,0.197024120378516
Std Dev,0.144499716760634,0.105363287670322,0.0932962370594066,0.0821333647025766,0.0883845733341823

Right Ear_Geoffrey_Geoffrey_Chine4
min,0.269444038650981,0.332906631053995,0.486693117640346,0.484713033910761,0.48471617327971
Q1,0.391580577810279,0.461663189167604,0.565941166975284,0.572213001091609,0.583455970702739
Q2,0.43836304960641,0.511611014427193,0.613994511714272,0.604397181999907,0.623780434721391
Q3,0.491144560802416,0.588612135186467,0.662600676132724,0.658199915557885,0.688116472954287
max,0.860086844614656,0.805770798601379,0.823774601737561,0.883242993861262,0.795532750610273
mean,0.458621104626903,0.527208768576819,0.621790413111747,0.627165224355378,0.629867506126724
Std Dev,0.106684960415325,0.0873222547268367,0.0761693489928503,0.0886657580178417,0.0732208423362609

