,delta ,theta ,alpha ,beta ,gamma
Q3,0.392422621402595,0.325310113849972,0.305795629834523,0.205548655200981,0.217086169169315
max,0.774930468074688,0.682787088340246,0.461911821732073,0.302350140310945,0.264154651020589
mean,0.332472593535524,0.273781028074644,0.230349780339514,0.177834866088308,0.196606889417254
Std Dev,0.112230140527799,0.118672918791734,0.108448662270432,0.0438092671625875,0.0356995947256984

Right Forehead_Geoffrey_Geoffrey_Maghreb3
min,0.120576253163237,0,0.00771090565115834,0.0334176012129321,0
Q1,0.236128556717694,0.186542636303396,0.171988751645466,0.106248504710338,0.125192662921741
Q2,0.304872128099188,0.252517100443072,0.246842213969815,0.135104639784134,0.155397299373184
Q3,0.37884089336069,0.340471388941982,0.293448885626186,0.166132439740413,0.181384799700755
max,0.738415448189263,0.521984280623104,0.498986446497981,0.2352489147129,0.238170055943026
mean,0.322075929764089,0.266253987203682,0.237415233314669,0.135799309580784,0.147859612382324
Std Dev,0.124712008932179,0.122097448907301,0.105668882310186,0.0459047873301497,0.0495313546491593

Right Ear_Geoffrey_Geoffrey_Maghreb3
min,0.314962783639502,0.265108885819752,0.448912079188033,0.311113175718466,0.377955360697123
Q1,0.432182905076171,0.470218760099157,0.624936669719473,0.389310943550059,0.438591291846519
Q2,0.493426131357506,0.535665643573742,0.701386231964632,0.41495547203304,0.457835716652254
Q3,0.614167785208167,0.626644365921116,0.807344093179131,0.44495469330964,0.482049639842591
max,0.783499252137769,0.936734803149922,0.97213487583728,0.524604628994593,0.535520499393368
mean,0.517643608280411,0.55893174089645,0.707571196685992,0.414522451026625,0.458089735009502
Std Dev,0.118565371006675,0.137444527538911,0.115814435302648,0.0464124850920746,0.0346023353078356

Left Ear_Geoffrey_Geoffrey_Maghreb4
min,0.304007574403937,0.39814609406366,0.383636631200713,0.304146415949006,0.361686662586058
Q1,0.439313049347954,0.488972150388286,0.636100297429386,0.409803170623926,0.417473179667836
Q2,0.499847987891808,0.557355378244946,0.68160294830914,0.448006421184279,0.4551485670761
Q3,0.586310940907339,0.639878459984412,0.723759169875899,0.47586560735265,0.503904700858301
max,0.968312679291047,0.909660342315735,0.945981873665643,1,1
mean,0.52357112939769,0.573290708205061,0.683874697623832,0.4642789133081,0.493288643079793
Std Dev,0.1279867660951,0.113358820503805,0.100004339891731,0.117503489729327,0.127177583872145

Left Forehead_Geoffrey_Geoffrey_Maghreb4
min,0.0943613683492058,0.0734526827414216,0.0440039961469284,0.0552804014084573,0.0927778916479795
Q1,0.235814174050845,0.180900851441207,0.180673840162891,0.146975996554853,0.1661818798816
Q2,0.294141562263755,0.28258103707311,0.228978940022725,0.189924210510514,0.201568955894483
Q3,0.453486011058515,0.416541350987135,0.302907613612406,0.224721418740213,0.254198836948478
max,0.797981540595573,0.725528930634172,0.450192205221892,0.554761330660029,0.686134563693063
mean,0.354166604739101,0.312461886436668,0.243481775857619,0.19559533627336,0.22527822713054
Std Dev,0.173151573034555,0.157838226861343,0.0946965127240044,0.0803969523379037,0.102864725074201

Right Forehead_Geoffrey_Geoffrey_Maghreb4
min,0.0737068904085743,0.0366198121917552,0.0273844367473349,0.0505011976390607,0.0478870994108699
Q1,0.236993598189771,0.183861545349901,0.162251137528909,0.10990676898279,0.128202774907625
Q2,0.316905280555227,0.278513796501882,0.221004789637358,0.136720701939397,0.16290154064823
Q3,0.46645842719342,0.379267311452573,0.291560015734306,0.183198761173039,0.199652894767711
max,0.721902607818283,0.61943048970504,0.432381782480002,0.229200391801075,0.451477645251581
mean,0.351156957430476,0.283850988063397,0.229290997729842,0.142726893959482,0.171987643045386
Std Dev,0.158736400173441,0.126152319829349,0.0943417357406657,0.0461887740442529,0.071958236880599

Right Ear_Geoffrey_Geoffrey_Maghreb4
min,0.293905456497184,0.334807447968367,0.418214242017371,0.342392777762662,0.371401955104567
Q1,0.423290363228965,0.511210395936598,0.639956208574399,0.414928723353352,0.436899190398465
Q2,0.505381228630007,0.574439758278589,0.684309274751342,0.451575728036013,0.461935067311328
Q3,0.570590670196957,0.645025197753397,0.743298398432627,0.48825032579723,0.512504096597496
max,0.966512121541974,0.8630676506158,0.884505694519337,0.74491712225113,0.932909510002483
mean,0.517940247892251,0.586546692931755,0.690120586468458,0.468192129886834,0.497193965872672
Std Dev,0.13156302987216,0.11688019244182,0.0902577398931973,0.0794161242051578,0.107868688486419

