,delta ,theta ,alpha ,beta ,gamma
Q3,-0.0858372425,-0.342494295,-0.0847152,-0.347871,-0.7872491
max,0.83275396,0.09919392,0.05957598,-0.2202531,-0.5849084
mean,-0.236311215539683,-0.431747963968254,-0.190286492857143,-0.408376582539683,-0.86389966031746
Std Dev,0.354420463977793,0.206616499295269,0.135938026508029,0.0851567117211453,0.123638293520589

Right Ear_Geoffrey_Geoffrey_Guinee3
min,-0.334339,-0.34417966,0.1640728,-0.19395626,-0.6755819
Q1,-0.065029515,-0.0402092075,0.4139854,-0.043050401,-0.515286025
Q2,0.054204646,0.07570514,0.4695589,0.046199586,-0.42688867
Q3,0.19419028,0.27004309,0.63280995,0.1253031525,-0.32433995
max,1.1274081,0.9724616,1.1219158,0.65559393,0.27740434
mean,0.131783707584127,0.117257486396825,0.530700279365079,0.0570711754285714,-0.411960889047619
Std Dev,0.33586649105121,0.260765180790744,0.208385154940645,0.143382763040372,0.172071760221887

Left Ear_Geoffrey_Geoffrey_Guinee4
min,-0.50995624,-0.23416995,0.1065166,-0.11405535,-0.47637644
Q1,0.0391948395,0.082125505,0.622632025,0.050170892,-0.3157735075
Q2,0.20219621,0.23800627,0.8863494,0.155048345,-0.241298775
Q3,0.5455795525,0.3910947125,1.0341147,0.2682450225,-0.0536915475
max,1.8395562,0.7461644,1.2723202,0.56654894,0.4660971
mean,0.304082679348485,0.238476900212121,0.82030595,0.177136518848485,-0.170875409090909
Std Dev,0.430899706376281,0.206529491801558,0.277147274445373,0.166013187099905,0.196366504577098

Left Forehead_Geoffrey_Geoffrey_Guinee4
min,-0.02115456,-0.42724854,-0.37307653,-0.08668409,-0.5295566
Q1,1.3465859,0.5359128875,0.5279076,0.414422215,0.3654783575
Q2,1.6130525,0.7276006,0.5279076,0.87284744,0.72535473
Q3,1.6130525,0.7276006,0.5279076,0.87284744,0.72535473
max,1.6130525,0.7276006,0.61633754,0.87284744,0.72535473
mean,1.3762599619697,0.553060852121212,0.444812632878788,0.661430538584848,0.496546375151515
Std Dev,0.446097648921293,0.323074154642832,0.187634239538931,0.357535243155278,0.400525580529292

Right Forehead_Geoffrey_Geoffrey_Guinee4
min,-0.7938863,-0.7106155,-0.48962206,-0.6101562,-1.0605508
Q1,-0.2084800775,-0.4618447,-0.2569098875,-0.408176225,-0.92355445
Q2,-0.06213101,-0.32102965,-0.130637515,-0.34812515,-0.82602825
Q3,0.4955988525,-0.05921936,-0.000431295,-0.24662125,-0.76232755
max,1.842113,0.8908194,0.39611104,-0.1270069,-0.5620927
mean,0.196602211090909,-0.23017186469697,-0.0978567865151515,-0.341926342424242,-0.836013577272727
