,delta ,theta ,alpha ,beta ,gamma
Q3,0.274931651233282,0.300915945016614,0.305042265921278,0.199130954779215,0.252977693513673
max,0.717731226156751,0.699641725999669,0.379576146595581,0.272568448682714,0.331869216782186
mean,0.242771385263475,0.255134566280937,0.251568413127835,0.182925742484521,0.231858885210652
Std Dev,0.136406108194209,0.115400005086302,0.0727055629029216,0.0336095331522524,0.037430109347741

Right Forehead_Geoffrey_Geoffrey_Guinee3
min,0.0667826233192595,0.0252426480214412,0.0867079042040153,0,0.0106223925577751
Q1,0.176969784499379,0.19809062027383,0.223326063025673,0.0880010963946298,0.0969730774078864
Q2,0.234249791600982,0.26407901387416,0.270716667313912,0.115284385956374,0.130490412698868
Q3,0.307845652188449,0.304718563299071,0.309322433529366,0.146813124371483,0.156184899841351
max,0.629922304276665,0.534653560185261,0.377161536234454,0.212330815055127,0.235074902550676
mean,0.255086434234765,0.258254697161514,0.259687647960042,0.115750193219438,0.126299845024818
Std Dev,0.124266982046913,0.107560859693966,0.0639118325999222,0.0437185621937222,0.0482049598069768

Right Ear_Geoffrey_Geoffrey_Guinee3
min,0.220715910606106,0.303841192377986,0.426291153889083,0.225831336761543,0.199722486251513
Q1,0.315141262240586,0.46208278152494,0.543788609649689,0.303304821220319,0.262219759479507
Q2,0.356947170336497,0.522425720789183,0.569916723469129,0.349124827988846,0.296684736498204
Q3,0.406028964519221,0.623594586995221,0.646669888476605,0.389735768945562,0.336667146357604
max,0.733234004494187,0.989261119233696,0.876625052692531,0.661981489433314,0.571279405129174
mean,0.384147958194207,0.544057130265137,0.598662599095611,0.354706187918924,0.302504883803109
Std Dev,0.117761583925458,0.135749696271942,0.0979731535096895,0.0736112059377666,0.06708853745244

Left Ear_Geoffrey_Geoffrey_Guinee4
min,0.159140954788725,0.361110282807081,0.399230865359218,0.266851625504123,0.277390099732697
Q1,0.351684428637191,0.525768048150766,0.641884694403068,0.351163654815789,0.340007090679405
Q2,0.408836005479591,0.606916790629421,0.765872522957394,0.405006638639707,0.36904381857795
Q3,0.529233149534823,0.686611899880976,0.835344997733387,0.463120625022974,0.442189432316382
max,0.982927529987084,0.871454838218584,0.947338311388573,0.616266725973422,0.644848253846362
mean,0.444559462063477,0.607161792313151,0.73482191828739,0.416346475308165,0.396500971426428
Std Dev,0.151082151056708,0.107515565146554,0.130301952035703,0.0852294281743975,0.0765607417494744

Left Forehead_Geoffrey_Geoffrey_Guinee4
min,0.330524708738291,0.260597016926895,0.173748146299571,0.280903743163962,0.256655848212947
Q1,0.810082173564324,0.762001655565738,0.597349609193733,0.538166461721576,0.605618317069263
Q2,0.903510752226692,0.861790855458265,0.597349609193733,0.773517161687097,0.745929426013469
Q3,0.903510752226692,0.861790855458265,0.597349609193733,0.773517161687097,0.745929426013469
max,0.903510752226692,0.861790855458265,0.638925315913055,0.773517161687097,0.745929426013469
mean,0.8204864997837,0.770928579712408,0.558282162321292,0.664977943033504,0.656720029515814
Std Dev,0.156410857058034,0.168186635321044,0.0882170237090911,0.183554841989634,0.156159705551625

Right Forehead_Geoffrey_Geoffrey_Guinee4
min,0.059589333890193,0.113081238030125,0.118953777167037,0.0121586550180641,0.0496281277561354
Q1,0.264844594055184,0.242586873862801,0.228364379886841,0.115853054677831,0.103041219747354
Q2,0.31615753670949,0.315892674161953,0.287731864765977,0.146682646428442,0.141065414495272
Q3,0.511708905364821,0.452186435624261,0.348948864525917,0.198793683543012,0.165901487492874
max,0.983823995772754,0.94675964791239,0.535384904420944,0.260202435643032,0.243970446723524
mean,0.406874636335709,0.36319161461645,0.303143861579859,0.149865049189778,0.1371722654867
Std Dev,0.226673135440468,0.181174476145224,0.0995551287607159,0.059010933672507,0.0430333610932623

Right Ear_Geoffrey_Geoffrey_Guinee4
min,0.256113083745286,0.330639891655612,0.393179426165529,0.255991620045766,0.187251850101404
Q1,0.325901179173326,0.55162926358596,0.675720962642583,0.364934554645898,0.341995496688515
Q2,0.382835152778222,0.616310099308123,0.806115008741577,0.423701170753966,0.395052065311214
Q3,0.495256467771163,0.683092558973783,0.85897649877868,0.463183152014428,0.452225905755196
max,1,0.864883998369037,1,0.831979422527162,0.890988616509085
mean,0.439479796396889,0.613168574597376,0.772669474037113,0.43535437956035,0.408845218897651
Std Dev,0.155907570651176,0.110349559408104,0.124118092594298,0.119626277930458,0.123479449229247

