,delta ,theta ,alpha ,beta ,gamma
mean,0.274825032954419,0.297669554783015,0.216312115239856,0.205692295495775,0.12273304201964
Std Dev,0.200337586911517,0.12234322639898,0.108438456519773,0.114757916924857,0.0808546791545307

Right Forehead_Thomas_Thomas_Maghreb3
min,0.266895949503906,0.209114801254099,0.0761307060520355,0.110198813264704,0.128588501764619
Q1,0.40795379724198,0.363430671503525,0.270701056296128,0.29043931692779,0.211533678976487
Q2,0.575085855740038,0.57168388614806,0.385905345318029,0.382846575850079,0.269529054583901
Q3,0.694147328046007,0.64869320015819,0.666648978169687,0.538895767933654,0.293161940650268
max,0.984034437903543,0.940745484267085,0.919274402395865,1,0.672919057702876
mean,0.557231167640159,0.535009720848955,0.452215980495098,0.453067626328909,0.268196078120784
Std Dev,0.181044462653636,0.194704370852806,0.240675346587987,0.219008152458061,0.0886974501691638

Right Ear_Thomas_Thomas_Maghreb3
min,0.145869328691532,0.256621401887032,0.257985464577815,0.253779036929627,0.1477714600623
Q1,0.338808919271864,0.396333866547361,0.419417097532025,0.369845431977032,0.204554452390721
Q2,0.512233972245504,0.459629274185662,0.501372585556122,0.416534721192162,0.227507636296319
Q3,0.671126024284422,0.519437810398496,0.632472195621712,0.46041417824572,0.270025326018455
max,0.868214402702937,0.797226565914167,0.964675056978805,0.849276026542922,0.671410299216957
mean,0.503536832200337,0.466823685589486,0.529456818677575,0.435181644675607,0.256256136847222
Std Dev,0.203904940359916,0.119458957021512,0.151860286401124,0.121735350336954,0.101986748703619

Left Ear_Thomas_Thomas_Maghreb4
min,0.14970329255386,0.201819360298934,0.145667304215869,0.305446685856144,0.170772070110655
Q1,0.308790074038313,0.347092184729454,0.430598516598877,0.392289008010806,0.245321989524398
Q2,0.423315408982259,0.409611610190979,0.48139179131687,0.450715789644544,0.278946309482388
Q3,0.54854891547581,0.475633444418387,0.585501192601312,0.484594010845416,0.318251393534343
max,0.686518608872533,0.611886244981918,0.759424032466161,0.591192909940188,0.482987085578756
mean,0.425925278534013,0.408446707511492,0.496998508846608,0.442677182191278,0.289125121198201
Std Dev,0.153150753022754,0.0896216021477996,0.131070874152733,0.0696142460907368,0.0601594021368898

Left Forehead_Thomas_Thomas_Maghreb4
min,0.0144960741686093,0.128862960389279,0.00707945891863933,0.0876915934568562,0.0228380934110195
Q1,0.136644643931237,0.233005938189865,0.124608052979095,0.151583349653011,0.05817948603197
Q2,0.204709181045071,0.298776137511239,0.208482841216256,0.199606902511084,0.0867665482107743
Q3,0.268508131722551,0.351564542550825,0.297207876025849,0.21585597017801,0.107841015350185
max,0.553643991131604,0.507009443816087,0.525866541400732,0.371593770932956,0.159478347560158
mean,0.216140504415194,0.297901665357631,0.220469026450348,0.19351719044728,0.0829075281886863
Std Dev,0.106347649966813,0.0882027831806479,0.121349876129873,0.0532767742519002,0.0319192415919127

Right Forehead_Thomas_Thomas_Maghreb4
min,0.22379442390204,0.181670645940405,0.13683297877515,0.220068584875433,0.138086541484052
Q1,0.395208675792924,0.365602369088529,0.281707928274328,0.301947048628065,0.221029085819476
Q2,0.46423836947278,0.444681356662637,0.357292361258539,0.358794579773136,0.262366080333929
Q3,0.540438902899102,0.583036996428605,0.418144731129533,0.415420773858885,0.302816316716211
max,0.879481468524736,0.987785086333942,0.894179425063282,0.911496122075061,0.463456201918979
mean,0.491457281536084,0.494910916606214,0.399465639164922,0.403672629047034,0.267870595224019
Std Dev,0.164913967214977,0.185346008121834,0.185591237707385,0.157868027766197,0.0595560742669894

Right Ear_Thomas_Thomas_Maghreb4
min,0.16775535266883,0.134659531954333,0.17041031056908,0.229386333488348,0.13509833173006
Q1,0.302599422392155,0.340102157288475,0.414287650126923,0.330739763735054,0.179622926270906
Q2,0.379079369938392,0.395565932339943,0.490616544827003,0.379935631407893,0.215526501972958
Q3,0.510771835921003,0.457293437616555,0.601575255111068,0.40920751094914,0.243866199777548
max,0.691335779981655,0.671164489243846,0.904101630466696,0.524718505353294,0.322190913670368
mean,0.403534919122271,0.4000390670023,0.504608154194743,0.374600768764408,0.21475466509035
Std Dev,0.129832570834489,0.0955052509257134,0.144689738588421,0.0638607467634671,0.0442516042872822

