,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.435733086988632,0.233467874421744,0.202045222754888,0.182458921529798,0.236363721236009

Right Ear_Sohaib_Sohaib_Vietnam3
min,-0.24357744,-0.35856444,-0.01842835,-0.2101589,-0.4718606
Q1,0.3730358,0.46251255,0.84121346,-0.06830801,-0.32940304
Q2,0.5149221,0.6325695,1.0326012,0.06482668,-0.24308047
Q3,0.78138584,0.76191115,1.1864184,0.13284205,-0.13259439
max,2.1212552,1.0572443,1.4328594,0.4215793,0.5001123
mean,0.602746762098361,0.593174056229508,0.975621655901639,0.0476223234098361,-0.205433257704918
Std Dev,0.465291033705452,0.274741513811232,0.294835738993461,0.153097916852123,0.174583603374316

Left Ear_Sohaib_Sohaib_Vietnam4
min,-0.15013228,-0.27641347,-0.16579607,-0.1977725,-0.6454225
Q1,0.21513326,0.067170575,0.12081004,-0.059430312,-0.45511878
Q2,0.6738059,0.21067743,0.3466612,0.0412164,-0.3211765
Q3,0.95309097,0.6054571,0.5605896,0.17248091,-0.15952468
max,1.3832582,1.1531364,1.1831733,0.48185286,0.1687736
mean,0.635770628360656,0.32336487447541,0.402379869180328,0.0686049434918033,-0.283967755459016
Std Dev,0.422715712299881,0.372874409132828,0.330537394543963,0.175166503459608,0.218209653081882

Left Forehead_Sohaib_Sohaib_Vietnam4
min,0.02710919,-0.17059998,-0.03811884,-0.05455529,-0.47760373
Q1,0.7049767,0.37972507,0.5064821,0.22031082,-0.22540706
Q2,0.98278826,0.57434124,0.62508345,0.35587487,-0.12249926
Q3,1.440161,0.8055509,0.80311865,0.41201013,-0.080805
max,1.9044806,1.4107665,1.0141633,0.5712611,0.2172357
mean,1.07289973360656,0.580172411311475,0.619810870327869,0.325726973114754,-0.150453723934426
Std Dev,0.43123558997145,0.338145027032394,0.234038441429986,0.139682061731633,0.124600118906377

Right Forehead_Sohaib_Sohaib_Vietnam4
min,-0.30628335,-0.70318025,-0.57260233,-0.8056172,-1.072515
Q1,0.12153364,-0.3672592,-0.19754225,-0.4882004,-0.9352457
Q2,0.5485338,-0.09044399,0.0650683,-0.3993886,-0.8477717
Q3,1.0658795,0.60603344,0.46370897,-0.2501921,-0.7693602
max,2.186779,1.4159445,1.2079213,0.07128506,-0.5023794
mean,0.624261603770492,0.109345286393443,0.161095179508197,-0.369305743081967,-0.841935272131147
Std Dev,0.62871106058713,0.598853322481619,0.421540282387753,0.193189014631516,0.113533418575168

Right Ear_Sohaib_Sohaib_Vietnam4
min,-0.20829622,-0.40182143,-0.26086953,-0.3186606,-0.62920773
Q1,0.27165818,-0.041430444,0.21213786,-0.13774951,-0.51670694
Q2,0.5675229,0.2899577,0.43130642,0.003591241,-0.46147078
Q3,0.9107379,0.5332657,0.6413959,0.08784881,-0.33942688
max,1.6228582,1.2542034,1.2600193,0.41056952,0.04507101
mean,0.608036665409836,0.303042364409836,0.473330107213115,0.00214787516393443,-0.410919497540984
Std Dev,0.426122872224714,0.394699201638588,0.354711714209665,0.156959017744463,0.161011027565121

