,delta ,theta ,alpha ,beta ,gamma
max,0.874787762619731,0.735219401645066,0.656363469801068,0.757878400883874,0.554407069113705
mean,0.53490686888605,0.454276667563398,0.467560593246673,0.549624293425479,0.456219638368715
Std Dev,0.142064681601575,0.117829042714645,0.100593509633153,0.0819899057547968,0.0514966083889015

Right Forehead_Sohaib_Sohaib_Vietnam3
min,0.15542329483348,0.10001783275511,0.257782877904125,0.181275738596734,0.0790610720247986
Q1,0.34076390682551,0.322679226956958,0.380942228767989,0.277935973414234,0.186716886702467
Q2,0.395330370432026,0.386658720853883,0.440029863926643,0.333896043087124,0.244814565219272
Q3,0.460938133417109,0.464942025322979,0.531981161099231,0.41675297811067,0.285294995938466
max,0.877741124873475,0.707281808017553,0.607732372188643,0.737441089431523,0.799929050937849
mean,0.424531823622149,0.391972700268051,0.446396559391976,0.358493118241463,0.25478792566714
Std Dev,0.149227428431235,0.10908883612373,0.0936702637678321,0.111720394352054,0.11616641970273

Right Ear_Sohaib_Sohaib_Vietnam3
min,0.167665131379037,0.161023171671259,0.314362589497667,0.364601717134119,0.295205502611885
Q1,0.378839382060285,0.544674812947061,0.712901461095949,0.451457636467183,0.365219566607192
Q2,0.427431807815585,0.624134630689436,0.801630805166993,0.532976588481318,0.407644790935191
Q3,0.518688817847064,0.684570055031092,0.872942056675813,0.574622696518627,0.461945731339551
max,0.977559775773241,0.82256569868036,0.987194663881543,0.751417775452926,0.772904073486636
mean,0.457509506455263,0.605726945605802,0.775214496717379,0.522442285819047,0.426147384485668
Std Dev,0.159350268559676,0.128374115928249,0.136688910844506,0.0937425229842972,0.0858031513327947

Left Ear_Sohaib_Sohaib_Vietnam4
min,0.199667706676949,0.199408554353703,0.246041383902965,0.372185963938824,0.209904491042214
Q1,0.324761804087477,0.359949629534033,0.378914953270855,0.456893489716685,0.303433657417273
Q2,0.481845442220174,0.427003804874008,0.483621896800699,0.518519910944004,0.369262690033003
Q3,0.577493429577225,0.611466248935215,0.582801324961395,0.598893743578075,0.4487102172154
max,0.724814694464236,0.867371681552177,0.87143759461129,0.788323539422941,0.610060002972429
mean,0.468819335307685,0.479657482361872,0.509453650542511,0.535290035714981,0.387549788460615
Std Dev,0.144769310818103,0.174227119741298,0.153240569165182,0.107255214925634,0.107244182865891

Left Forehead_Sohaib_Sohaib_Vietnam4
min,0.2603683731383,0.248850348000387,0.305233873822685,0.459878486973868,0.292382908490847
Q1,0.49252064331241,0.505992018317671,0.55771652598564,0.628180206318406,0.416330797200884
