,delta ,theta ,alpha ,beta ,gamma
Q2,0.2046661,0.301343965,1.0755024,0.850677,0.6871086
Q3,0.361778835,0.4302103175,1.277182225,0.9428647,0.8392553
max,0.7951777,1.0160805,1.6186173,1.0319126,1.1181017
mean,0.216890410548387,0.313960732870968,1.07161811129032,0.85492870483871,0.718185220967742
Std Dev,0.243625700330989,0.259337277005802,0.28234011195444,0.107585297794025,0.172929608176294

Left Ear_Halima_Halima_Chine4
min,-0.19437477,0.02995466,0.5161792,0.4562795,-0.07098363
Q1,0.122496922,0.29505512,0.9674178,0.6641997,0.23427329
Q2,0.28786713,0.43255487,1.1711743,0.7298558,0.34170076
Q3,0.442660975,0.661222725,1.39837595,0.813816,0.438189265
max,1.1906266,1.0758501,1.7540741,1.328855,0.9713596
mean,0.339866328761905,0.49401651984127,1.17035486190476,0.753807538095238,0.357162085238095
Std Dev,0.325259881809553,0.262364260664235,0.266181860535687,0.137878888167997,0.200268245485984

Left Forehead_Halima_Halima_Chine4
min,-0.5355883,-0.56823146,-0.18499316,0.6142642,0.2250188
Q1,-0.348074525,-0.389953585,0.138242735,0.7838346,0.51418415
Q2,0.04277981,-0.10945657,0.30623713,0.8567747,0.667967
Q3,0.65271365,0.307203,0.43342905,0.95846275,0.77793655
max,1.2990414,0.8476922,0.7801753,1.4332794,0.9473407
mean,0.198445556031746,-0.0323070249206349,0.289714763850794,0.873538680952381,0.646201549206349
Std Dev,0.610317112621361,0.411531174551261,0.203057841562282,0.145071574724816,0.165908428376959

Right Forehead_Halima_Halima_Chine4
min,-0.8562994,-0.8007284,-0.2057782,0.2993632,0.02479596
Q1,-0.430561705,-0.3966152,-0.020975617,0.4082743,0.15425635
Q2,-0.12375756,-0.2839229,0.13092697,0.4867187,0.24040185
Q3,0.445459585,0.029986726345,0.312466535,0.5696616,0.31661897
max,1.4982919,1.015789,0.61855334,0.8597094,0.5334678
mean,0.0450944198095238,-0.131918037576349,0.158966518634921,0.500771882539683,0.239472533015873
Std Dev,0.641750555850592,0.417105685478002,0.208936295105898,0.131710178742116,0.117336108630377

Right Ear_Halima_Halima_Chine4
min,-0.3498647,-0.2030847,0.1509952,0.3487616,0.0270683
Q1,-0.010917235,0.113109805,0.90423775,0.5318649,0.11767698
Q2,0.18292464,0.32895827,1.0364946,0.6405313,0.23175307
Q3,0.39820205,0.47828676,1.23680775,0.7296737,0.39049657
max,1.1318992,0.93291205,1.852532,1.2633657,0.84731805
mean,0.225290373539683,0.321712682460317,1.06687026666667,0.65654060952381,0.31363340031746
Std Dev,0.301759303382109,0.264528106611925,0.309118069990029,0.181142810005243,0.251228080964229

