,delta ,theta ,alpha ,beta ,gamma
mean,0.438381668075513,0.335397585572677,0.227720361945286,0.508738735321347,0.744715723037794
Std Dev,0.19750888480855,0.195957805917993,0.101466930645833,0.115287225131386,0.12825658563135

Right Forehead_Halima_Halima_Chine3
min,0.0490995900639291,0.0184239823191192,0.0380646151469894,0.0672697858977586,0.157906088930382
Q1,0.240463291857336,0.14930115844711,0.129159023460425,0.177123979708553,0.276084993160952
Q2,0.30019266934257,0.203796861522226,0.171707342584917,0.235845911717286,0.324838018663419
Q3,0.602147547540668,0.545136908231465,0.19859699373949,0.300102622221995,0.377577549379091
max,0.910347704234887,0.895139099440852,0.453004267945434,0.4550172226131,0.534492345123515
mean,0.408068515386971,0.319692648011301,0.180993016440962,0.241092056634941,0.32284879175143
Std Dev,0.250439216282169,0.258481939008363,0.0887842380807713,0.0876310119985924,0.0809720609422735

Right Ear_Halima_Halima_Chine3
min,0.314548569341532,0.255086739574446,0.368133258943631,0.191898572398913,0.313778823703672
Q1,0.413317057280889,0.487687839282455,0.52189120418743,0.42856207098902,0.538281318654213
Q2,0.465290957468028,0.539636047220832,0.625249600422536,0.486203301443264,0.601636133736584
Q3,0.515794911356351,0.602736194989138,0.722516931043484,0.567503577424857,0.722382592711344
max,0.655111156428476,0.8896108862612,0.887186244523963,0.646034865715826,0.943680296820995
mean,0.469220467168513,0.545813919889467,0.623376262848233,0.489952877327892,0.626299119780682
Std Dev,0.0783135825082978,0.126985983411738,0.136168647592926,0.0948794080144765,0.137240162548253

Left Ear_Halima_Halima_Chine4
min,0.337019104151767,0.406748719256475,0.35549592219336,0.138384388546526,0
Q1,0.438877641088846,0.536556678238211,0.573121924670969,0.321749085161672,0.242257585393188
Q2,0.492035963100964,0.603884218552546,0.671390806308818,0.379651159406665,0.327514029332606
Q3,0.541794508836142,0.715852743776084,0.780966952599975,0.453695608193974,0.404089106613404
max,0.782228369497094,0.918877413317226,0.952515145669408,0.907908185807734,0.827223029213349
mean,0.508751127129526,0.633979267506989,0.67099560289106,0.400774182514756,0.339784425427671
Std Dev,0.104554924033569,0.128468163301476,0.128375751188914,0.121595306750179,0.158936615040094

Left Forehead_Halima_Halima_Chine4
min,0.227335873284503,0.113843458630358,0.0173303978907169,0.277710998396531,0.234913049513558
Q1,0.287612254101281,0.201138241466084,0.173222503943085,0.42725502995724,0.464400064813248
Q2,0.413252542343297,0.338485211809399,0.254243827523325,0.491580859326289,0.586445002945635
Q3,0.609316028414545,0.5425049572746,0.315586693796405,0.581259488135014,0.67371888898817
max,0.817078351963581,0.807158590480936,0.482817511952479,1,0.808161182170535
mean,0.463291361027084,0.376261928542074,0.246275323728385,0.506365003826897,0.569171535224529
Std Dev,0.196186689214494,0.201508597253492,0.0979319285427512,0.127938532604805,0.131668023299786

Right Forehead_Halima_Halima_Chine4
min,0.124243157051962,0,0.00730606671307125,0,0.0760124691140485
Q1,0.261096715847187,0.197876343517389,0.0964337419293016,0.0960486321652341,0.178754649325591
Q2,0.359719035621753,0.253056773819009,0.169694213827799,0.165228700321946,0.247121324919674
Q3,0.542694123182435,0.406764420726011,0.257248181556787,0.238375992864376,0.307608652960666
max,0.881127507903903,0.889468151616217,0.404869523754226,0.494168969452945,0.479703929133727
mean,0.413996574627438,0.3274868255304,0.183217292041175,0.177622193368154,0.246383801627362
Std Dev,0.206290982589568,0.20423818846477,0.100767023646422,0.116155125698104,0.0931201243733576

Right Ear_Halima_Halima_Chine4
min,0.287036801604372,0.292639661565629,0.179372837668271,0.0435644186051844,0.0778158405219509
Q1,0.395991604936668,0.447466112395968,0.542651079052187,0.205043106360064,0.149724579011693
Q2,0.458302156125445,0.553157549864581,0.606436689515876,0.300875937745664,0.240257491793805
Q3,0.527503168938555,0.626277100485974,0.703044892090296,0.379490565528564,0.366239294292708
max,0.763350422387453,0.848886978252235,1,0.850153212380245,0.728781341498526
mean,0.471920638759161,0.549609706416291,0.621086444455412,0.314994537977153,0.305239249173472
Std Dev,0.0970006533422176,0.129527702866291,0.149083278481769,0.159749732833205,0.199379290983342

