,delta ,theta ,alpha ,beta ,gamma
Q1,0.103867225,0.14902261,0.827713725,0.67713875,0.421134125
Q2,0.32554795,0.29648505,0.98855055,0.73398855,0.52093115
Q3,0.6261409375,0.464763545,1.259270875,0.8075059,0.6206296
max,1.3312733,1.2290624,1.7120757,1.2214837,1.2094296
mean,0.378142379032258,0.329073848387097,1.03170532419355,0.749652085483871,0.53080964516129
Std Dev,0.343586882866665,0.261761817239449,0.327044927935408,0.117330412885592,0.161458113964498

Left Ear_Halima_Halima_Vietnam4
min,-0.24177746,-0.02251698,0.3817606,0.503381,0.260994
Q1,0.24257982,0.3476528,0.8127455,0.7633453,0.5062372
Q2,0.41319466,0.49575916,1.160203,0.8228629,0.6058934
Q3,0.76251084,0.6661901,1.3100145,0.9178104,0.7150209
max,1.951302,1.0611109,1.6634241,1.0842524,0.8518081
mean,0.544293351295082,0.508046574754098,1.08580450655738,0.838104944262295,0.615437503278689
Std Dev,0.482379165788961,0.230623285827753,0.297387447194447,0.131400764356474,0.138804177346905

Left Forehead_Halima_Halima_Vietnam4
min,-0.7013626,-0.63016397,-0.17581935,-0.09848445,-0.3754561
Q1,0.09907228,-0.13961533,0.12839629,0.76175404,0.6564083
Q2,0.6916484,0.07866744,0.18864626,0.9091464,0.7606733
Q3,1.4691924,0.504482,0.3336747,1.0142051,0.9682277
max,1.866102,1.1138693,0.9688056,1.1839035,1.1599689
mean,0.745926002793443,0.145171277032787,0.247323389222951,0.813027567213115,0.693227539344262
Std Dev,0.78270219713358,0.457860562590882,0.213714024093722,0.336852389254459,0.420337485926928

Right Forehead_Halima_Halima_Vietnam4
min,-1.0649623,-0.7194577,-0.20009458,0.05783308,-0.1646381
Q1,-0.1780193,-0.4170545,0.05193449,0.5897123,0.3050149
Q2,0.70684385,0.15193899,0.20552085,0.6632807,0.4425629
Q3,1.2918005,0.6797411,0.38300166,0.7707124,0.5892122
max,1.7920996,1.1430874,1.008866,1.0154446,1.0721825
mean,0.633587937540984,0.123288430639344,0.245104613770492,0.639613417213115,0.441174273770492
Std Dev,0.867868903555918,0.570201004802866,0.252206469227846,0.238172848070758,0.288592859683017

Right Ear_Halima_Halima_Vietnam4
min,-0.45348334,-0.081992775,0.5899608,0.6891429,0.452108
Q1,0.18378085,0.21702759,0.7853742,0.8175335,0.6459836
Q2,0.32991993,0.33956543,1.0102937,0.8536699,0.7467653
Q3,0.5723448,0.51531917,1.300991,0.9656097,0.8470672
max,1.5297041,1.437315,1.7268227,1.1876215,0.9477137
mean,0.455202423934426,0.410483093688525,1.06253680983607,0.898217003278688,0.716094831147541
Std Dev,0.47558858078723,0.302473687514974,0.306072635764099,0.11762067728456,0.141215365742207

